itv1,itv2,n1,n2,itv,n_ht
-d3,-d2,G##0,E#1,m6,8
-M2,-m2,A0,E1,P5,7
-M2,P1,A0,F1,m6,8
-M2,A1,A0,F#1,M6,9
-M2,M2,A0,G1,m7,10
-m2,-d3,A#0,D#1,P4,5
-m2,-d2,A#0,E#1,P5,7
-m2,A1,A#0,F#1,m6,8
d1,-M2,Bb0,Eb1,P4,5
d1,P1,Bb0,F1,P5,7
d1,m2,Bb0,Gb1,m6,8
d1,M2,Bb0,G1,M6,9
P1,-d3,B0,D#1,M3,4
P1,-m2,B0,E1,P4,5
P1,A1,B0,F#1,P5,7
P1,M2,B0,G1,m6,8
A1,-d3,B#0,D#1,m3,3
A1,-d2,B#0,E#1,P4,5
d2,-M2,Cb1,Eb1,M3,4
d2,d1,Cb1,Fb1,P4,5
d2,m2,Cb1,Gb1,P5,7
d2,d3,Cb1,Abb1,m6,8
m2,-M2,C1,Eb1,m3,3
m2,-m2,C1,E1,M3,4
m2,P1,C1,F1,P4,5
m2,M2,C1,G1,P5,7
M2,-d3,C#1,D#1,M2,2
M2,-m2,C#1,E1,m3,3
M2,-d2,C#1,E#1,M3,4
M2,A1,C#1,F#1,P4,5
d3,-M2,Db1,Eb1,M2,2
d3,d1,Db1,Fb1,m3,3
d3,P1,Db1,F1,M3,4
d3,m2,Db1,Gb1,P4,5
